,City,Cloudiness,Country,Humidity,Latitud,Longitud,Max Temperature,Wind Speed
121,meulaboh,43.0,ID,69.0,4.14,96.13,83.75,2.98
122,comillas,0.0,ES,88.0,43.39,-4.29,64.99,9.55
123,rio grande,45.0,BR,97.0,-32.03,-52.1,60.17,5.64
124,batagay,0.0,RU,42.0,67.65,134.64,82.67,8.01
125,riorges,0.0,FR,93.0,46.04,4.03,69.01,3.36
126,camabatela,51.0,AO,94.0,-8.19,15.37,60.53,0.89
127,torbay,75.0,CA,93.0,47.66,-52.73,51.01,13.87
128,agirish,100.0,RU,81.0,61.92,63.02,59.81,5.3
129,iberia,9.0,PE,78.0,-11.41,-69.49,71.33,2.37
130,horsham,11.0,AU,66.0,-36.71,142.2,48.47,16.55
131,la palma,93.0,CO,97.0,5.36,-74.39,66.29,1.74
132,ugoofaaru,76.0,MV,69.0,5.67,73.0,84.11,5.19
133,pomezia,40.0,IT,83.0,41.67,12.5,80.01,4.7
134,kodiak,1.0,US,53.0,39.95,-94.76,73.99,6.93
135,kasongo,48.0,CD,73.0,-4.43,26.67,75.11,4.45
136,ribeira grande,21.0,PT,87.0,38.52,-28.7,71.69,14.07
137,kyzyl-suu,92.0,KG,49.0,42.34,78.0,68.99,2.26
138,atagay,100.0,RU,32.0,55.1,99.39,77.63,6.82
139,puerto escondido,100.0,MX,89.0,15.86,-97.07,77.09,1.88
140,geraldton,20.0,CA,82.0,49.72,-86.95,60.8,3.36
141,berdigestyakh,24.0,RU,35.0,62.1,126.7,86.99,5.59
142,nanortalik,77.0,GL,88.0,60.14,-45.24,40.73,3.47
143,chuy,85.0,UY,91.0,-33.69,-53.46,54.05,13.09
144,cape town,0.0,ZA,93.0,-33.93,18.42,51.01,2.24
145,chicama,90.0,PE,93.0,-7.84,-79.15,62.6,10.29
146,quelimane,20.0,MZ,100.0,-17.88,36.89,57.2,3.36
147,novyy urgal,99.0,RU,72.0,51.07,132.56,71.69,6.11
148,klaksvik,94.0,FO,100.0,62.23,-6.59,50.0,1.12
149,hofn,98.0,IS,96.0,64.25,-15.21,42.17,1.95
150,leningradskiy,96.0,RU,78.0,69.38,178.42,47.21,7.56
